gvkey	year	gvkey	year	Y	K	L	M	VA	i	naics_4digit
012895	2012	012895	2012	2796.2065225616057	2016.4054252535918	6.0	2203.269688332871	592.9368342287352	75.27006642744043	3251
012895	2013	012895	2013	3901.794524442661	2088.790333685225	6.0	3027.685515026843	874.1090094158179	181.88563743449427	3251
012895	2014	012895	2014	3793.71906865513	3371.6610447625126	6.0	3112.020460358056	681.6986082970739	190.95568558080464	3251
012898	1998	012898	1998	26.168122213957652	20.642149750835802	0.295	15.344881484294133	10.823240729663517	1.4641115558546751	3343
012898	1999	012898	1999	48.63449904087354	22.461422183032056	0.31	30.508360631547887	18.126138409325655	1.8179723502304148	3343
012898	2000	012898	2000	77.84354482167014	24.201193820224717	0.353	53.57123758619552	24.27230723547461	4.9386214479217445	3343
012898	2001	012898	2001	79.83648003311797	29.040097205346296	0.366	57.33943403758298	22.497045995534986	4.62678127120561	3343
012898	2002	012898	2002	90.9191318452151	33.21879955788361	0.309	71.50847841198733	19.410653433227772	3.64774131768531	3343
012898	2003	012898	2003	67.64421317939752	36.51423376194019	0.271	50.200222773283464	17.443990406114068	2.0282837176030375	3343
012898	2004	012898	2004	59.629201246126954	38.69032859858548	0.198	49.8590272442527	9.770174001874258	1.3752860660093928	3343
012898	2005	012898	2005	46.011138213514485	38.72693138748185	0.194	33.40530507689214	12.60583313662234	1.5092023241292452	3343
012898	2006	012898	2006	53.616951737662056	40.3256467476651	0.192	38.12145113846824	15.495500599193814	2.0388883698236215	3343
012915	1998	012915	1998	14.730792953530003	7.54651916631033	0.085	12.179659410587757	2.5511335429422464	0.16711309171071656	3254
012915	1999	012915	1999	15.099006190697468	7.149625635618668	0.083	14.299382429211699	0.7996237614857697	0.7598748441433176	3254
012915	2000	012915	2000	41.124539298877174	7.852976897513579	0.21	34.350789977429216	6.773749321447958	3.5238903933538355	3254
012915	2001	012915	2001	45.871650072526016	21.506294556793335	0.221	34.903816417637195	10.967833654888823	3.1633762517882684	3254
012915	2002	012915	2002	45.24765351125184	24.162108403779214	0.187	35.36393333710279	9.883720174149047	1.8791594493572796	3254
012915	2003	012915	2003	54.76341975225073	24.720529993823202	0.171	42.4400785216273	12.323341230623432	1.1224155647647331	3254
012915	2004	012915	2004	69.02686536642724	25.83719888090884	0.194	55.767958385521844	13.258906980905397	1.0116696987176643	3254
012915	2005	012915	2005	81.00098089588491	18.561648669630884	0.233	54.34061492830118	26.66036596758373	2.2084195997239475	3254
012915	2006	012915	2006	75.14498665902227	20.215036489649794	0.25	51.72357714613334	23.421409512888925	13.330873049346268	3254
012915	2007	012915	2007	88.53364741153167	33.44892703862661	0.282	70.7587151346432	17.774932276888485	5.641598589600352	3254
