ID	SEX	OCC	AGE	POB	HOURS	TERMS	COLLEGE	EARNMO	TOTEAR	COLYR	BOARD	DEP	PERIOD	BENESOC	INSUR	SAVINGS	IFDEBT	WHYDEBT	TEXTBK	OWNHM
86	1	1	39	5	6.00	35	2	35.00	162.00	-9.00	-9.00	3	4	-9	-9	2	-9	-9	1	-9
87	1	1	22	10	6.00	1	-9	28.00	-9.00	100.00	10.00	-9	2	-9	3	2	-9	-9	2	-9
88	1	1	28	10	6.00	10	-9	35.00	-9.00	-9.00	-9.00	4	4	-9	2	-9	-9	-9	2	-9
89	1	1	23	10	6.00	-8	-9	35.00	-9.00	-9.00	-9.00	-9	4	-9	-9	-9	-9	-9	2	2
90	1	1	28	10	6.00	3	-9	33.33	375.00	-9.00	8.00	3	5	-9	-9	2	-9	-9	2	-9
91	1	1	23	10	6.00	6	-9	38.00	150.00	-9.00	8.00	-9	4	-9	-9	-9	2	-9	2	2
92	1	2	60	10	6.00	68	2	90.00	900.00	-9.00	-9.00	5	4	2	3	2	-9	-9	1	-9
93	1	1	26	10	7.00	2	-9	40.00	200.00	130.00	14.00	-9	4	-9	-9	2	2	-9	2	-9
94	1	1	19	10	7.00	-8	-9	32.00	200.00	190.00	12.00	1	4	-9	2	-9	2	-9	2	2
95	1	1	32	8	7.00	18	-9	50.00	600.00	400.00	-9.00	6	4	2	2	2	-9	-9	2	-9
96	1	2	34	10	6.00	9	2	100.00	1300.00	-9.00	-9.00	4	4	-9	-9	-9	-9	-9	2	-9
97	1	1	30	10	7.00	18	-9	35.00	300.00	-9.00	10.00	-9	4	2	-9	-9	-9	-9	2	-9
98	1	1	22	10	6.00	-8	-9	30.00	-9.00	-9.00	-9.00	9	4	-9	-9	2	-9	-9	2	-9
99	1	1	27	10	7.00	10	2	75.00	675.00	225.00	15.00	-9	5	2	-9	-9	-9	-9	1	2
100	1	3	32	3	6.00	34	-9	105.00	1025.00	600.00	-9.00	4	4	2	3	2	-9	-9	2	-9
